date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:16	168/168	---MC-	200	added ('OK')	text/plain	date:Thu,%2023%20Nov%202023%2008:58:15%20GMT	https://spydec.com/robots.txt		(from )
09:58:17	162337/162337	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2008:58:15%20GMT	https://spydec.com/	C:/Users/Simone/Desktop/tazza/test/spydec.com/index.html	(from )
09:58:19	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2023%20Nov%202023%2008:58:18%20GMT	https://spydec.com/xmlrpc.php	C:/Users/Simone/Desktop/tazza/test/spydec.com/xmlrpc.php	(from https://spydec.com/)
09:58:19	22292/22292	---M--	200	added ('OK')	text/css	etag:%2284521a-5714-60a3946723d3b%22	https://spydec.com/wp-content/plugins/translatepress-multilingual/assets/css/trp-floater-language-switcher.css?ver=2.6.6	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/plugins/translatepress-multilingual/assets/css/trp-floater-language-switcherd7ad.css	(from https://spydec.com/)
09:58:19	2843/2843	---M--	200	added ('OK')	text/css	etag:%2284521c-b1b-60a3946723d3b%22	https://spydec.com/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher.css?ver=2.6.6	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcherd7ad.css	(from https://spydec.com/)
09:58:19	9427/9427	---M--	200	added ('OK')	image/gif	etag:%22dc03dd-24d3-605a0783e1d7f%22	https://spydec.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://spydec.com/)
09:58:20	6400/6400	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22941cad-1900-605a07686565a%22	http://spydec.com/wp-content/themes/Divi/core/admin/fonts/modules/base/modules.eot	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/themes/Divi/core/admin/fonts/modules/base/modules.eot	(from https://spydec.com/)
09:58:20	16772/16772	---M--	200	added ('OK')	text/css	etag:%22643725-4184-60a58f1627bd9%22	https://spydec.com/wp-content/et-cache/9/et-divi-dynamic-9-late.css?ver=1700226981	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/et-cache/9/et-divi-dynamic-9-latea2d6.css	(from https://spydec.com/)
09:58:21	69884/69884	---M--	200	added ('OK')	text/css	etag:%22643722-110fc-60a58f14a6f8a%22	https://spydec.com/wp-content/et-cache/9/et-divi-dynamic-9.css?ver=1700226981	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/et-cache/9/et-divi-dynamic-9a2d6.css	(from https://spydec.com/)
09:58:23	2123/2123	---MC-	200	added ('OK')	application/rss+xml	etag:%221b078e196a242e849f1a23c2c36d69a5%22	https://spydec.com/feed/	C:/Users/Simone/Desktop/tazza/test/spydec.com/feed/index.html	(from https://spydec.com/)
09:58:24	1620/1620	---MC-	200	added ('OK')	application/rss+xml	etag:%221b078e196a242e849f1a23c2c36d69a5%22	https://spydec.com/comments/feed/	C:/Users/Simone/Desktop/tazza/test/spydec.com/comments/feed/index.html	(from https://spydec.com/)
09:58:26	228426/228426	---MC-	200	added ('OK')	application/json	date:Thu,%2023%20Nov%202023%2008:58:22%20GMT	https://spydec.com/wp-json/	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-json/index.html	(from https://spydec.com/)
09:58:26	99385/99385	---MC-	200	added ('OK')	application/json	date:Thu,%2023%20Nov%202023%2008:58:22%20GMT	https://spydec.com/wp-json/wp/v2/pages/9	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-json/wp/v2/pages/9.json	(from https://spydec.com/)
09:58:27	775/775	---MC-	200	added ('OK')	text/xml	date:Thu,%2023%20Nov%202023%2008:58:27%20GMT	https://spydec.com/xmlrpc.php?rsd	C:/Users/Simone/Desktop/tazza/test/spydec.com/xmlrpc0db0.php	(from https://spydec.com/)
09:58:28	2151/2151	---MC-	200	added ('OK')	application/json	date:Thu,%2023%20Nov%202023%2008:58:28%20GMT	https://spydec.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fspydec.com%2F	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-json/oembed/1.0/embed8f0e.json	(from https://spydec.com/)
09:58:30	2344/2344	---MC-	200	added ('OK')	text/xml	date:Thu,%2023%20Nov%202023%2008:58:30%20GMT	https://spydec.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fspydec.com%2F&format=xml	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-json/oembed/1.0/embed827c	(from https://spydec.com/)
09:58:30	561/561	---M--	200	added ('OK')	image/png	etag:%22844ab8-231-6067a2649f83d%22	https://spydec.com/wp-content/uploads/2023/09/cropped-five_icon_3-32x32.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/09/cropped-five_icon_3-32x32.png	(from https://spydec.com/)
09:58:30	4392/4392	---M--	200	added ('OK')	image/png	etag:%22844ab6-1128-6067a264911c4%22	https://spydec.com/wp-content/uploads/2023/09/cropped-five_icon_3-192x192.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/09/cropped-five_icon_3-192x192.png	(from https://spydec.com/)
09:58:30	4083/4083	---M--	200	added ('OK')	image/png	etag:%22844ab7-ff3-6067a2649cd45%22	https://spydec.com/wp-content/uploads/2023/09/cropped-five_icon_3-180x180.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/09/cropped-five_icon_3-180x180.png	(from https://spydec.com/)
09:58:30	6901/6901	---M--	200	added ('OK')	image/png	etag:%22844ab5-1af5-6067a26484a8c%22	https://spydec.com/wp-content/uploads/2023/09/cropped-five_icon_3-270x270.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/09/cropped-five_icon_3-270x270.png	(from https://spydec.com/)
09:58:31	49460/49460	---M--	200	added ('OK')	text/css	etag:%22643729-c134-60a58f1646422%22	https://spydec.com/wp-content/et-cache/9/et-core-unified-deferred-9.min.css?ver=1700226983	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/et-cache/9/et-core-unified-deferred-9.min03d9.css	(from https://spydec.com/)
09:58:31	130056/130056	---M--	200	added ('OK')	image/png	etag:%22843cc4-1fc08-6062efc229880%22	https://spydec.com/wp-content/uploads/2023/09/logo_scritta.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/09/logo_scritta.png	(from https://spydec.com/)
09:58:31	267/267	---M--	200	added ('OK')	image/png	etag:%2284528e-10b-60a394698a55c%22	https://spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/it_IT.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/it_IT.png	(from https://spydec.com/)
09:58:32	250/250	---M--	200	added ('OK')	image/png	etag:%22845263-fa-60a39469899a4%22	https://spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/de_DE.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/de_DE.png	(from https://spydec.com/)
09:58:37	165006/165006	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2008:58:33%20GMT	https://spydec.com/es/	C:/Users/Simone/Desktop/tazza/test/spydec.com/es/index.html	(from https://spydec.com/)
09:58:38	325/325	---M--	200	added ('OK')	image/png	etag:%22845273-145-60a3946989d8c%22	https://spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/es_ES.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/es_ES.png	(from https://spydec.com/)
09:58:38	268/268	---M--	200	added ('OK')	image/png	etag:%22845281-10c-60a394698a174%22	https://spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/fr_FR.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/fr_FR.png	(from https://spydec.com/)
09:58:38	600/600	---M--	200	added ('OK')	image/png	etag:%22845268-258-60a39469899a4%22	https://spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/en_GB.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/plugins/translatepress-multilingual/assets/images/flags/en_GB.png	(from https://spydec.com/)
09:58:41	164411/164411	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2008:58:32%20GMT	https://spydec.com/en/	C:/Users/Simone/Desktop/tazza/test/spydec.com/en/index.html	(from https://spydec.com/)
09:58:43	7086/7086	---M--	200	added ('OK')	image/png	etag:%22842dcc-1bae-605edf3ff104c%22	https://spydec.com/wp-content/uploads/2023/09/stella@300x.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/09/stella@300x.png	(from https://spydec.com/)
09:58:43	13696/13696	---M--	200	added ('OK')	image/png	etag:%22842da1-3580-605eda78bf9d2%22	https://spydec.com/wp-content/uploads/2023/09/cappello_1@300x.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/09/cappello_1@300x.png	(from https://spydec.com/)
09:58:43	8463539/8463539	---M--	200	added ('OK')	video/mp4	etag:%2282183c-8124b3-606cc07272426%22	https://spydec.com/wp-content/uploads/2023/10/def_4.mp4	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/10/def_4.mp4	(from https://spydec.com/)
09:58:44	3253/3253	---M--	200	added ('OK')	image/png	etag:%22842e48-cb5-605efaa3af86e%22	https://spydec.com/wp-content/uploads/2023/09/separatore@300x.png	C:/Users/Simone/Desktop/tazza/test/spydec.com/wp-content/uploads/2023/09/separatore@300x.png	(from https://spydec.com/)
